ASV,B_1,B_2,B_3,B_4,B_5,B_6,L_10,L_11,L_12,L_13,L_14,L_15,L1,L2,L3,L4,L5,L6,R_10,R_11,R_12,R_13,R_14,R_15,R1,R2,R3,R4,R5,R6,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,S_10,S_11,S_12,S_13,S_14,S_15,S1,S2,S3,S4,S5,S6,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV221,0,10,0,0,0,0,775,874,2108,4682,5235,4789,3729,3748,2654,3,6,4,15,9,11,17,15,9,0,0,0,8,5,11,24,0,0,5,18,0,5606,5814,6599,0,8,0,3105,2623,2247,6,10,499,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV214,0,0,0,0,0,0,716,647,414,246,227,322,926,902,1109,324,410,511,0,0,0,0,0,0,0,0,0,5,16,11,0,0,0,0,0,0,35,37,21,20,16,22,180,255,274,0,0,354,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,s__Quadrisphaera_granulorum
ASV16,0,0,0,0,0,0,0,0,0,56,27,44,83,98,76,0,0,0,0,0,0,0,0,0,19,14,8,77,64,67,0,0,0,0,0,0,0,0,0,0,0,0,56,83,115,2755,2906,1974,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__unclassified_o__Enterobacterales,g__unclassified_o__Enterobacterales,s__unclassified_o__Enterobacterales
ASV1383,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Rosenbergiella,s__unclassified_g__Rosenbergiella
ASV818,0,0,0,0,0,0,0,0,0,43,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,2181,689,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV18,0,0,0,0,0,0,8,0,6,283,207,194,10,9,11,19,26,28,0,0,0,0,7,62,0,8,0,67,43,65,17,0,0,0,0,0,19,0,0,3,4,0,79,92,83,721,751,659,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas
ASV2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified_f__Comamonadaceae,s__unclassified_f__Comamonadaceae
ASV1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified_f__Comamonadaceae,s__unclassified_f__Comamonadaceae
ASV2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas,s__unclassified_g__Aureimonas
ASV924,0,0,0,0,0,0,295,342,163,344,272,307,59,46,75,2,3,1,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,32,44,0,0,146,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
