Sample,index,Root biomass,Stem biomass,Leaf biomass,Total biomass,Root TN,Stem TN,Leaf TN,Total TN
Bacteria_shannon_Bulk_soil ,5.286145,52,125,44,221,75.92,106.25,122.76,304.93
Bacteria_shannon_Bulk_soil ,5.136893,50,126,50,226,79.5,108.36,129,316.86
Bacteria_shannon_Bulk_soil ,5.320497,58,119,42,219,100.17,84.15,108.81,293.13
Bacteria_shannon_Bulk_soil ,5.304111,64,132,76,272,123.52,96.36,283.8,503.68
Bacteria_shannon_Bulk_soil ,5.222635,73,120,60,253,168.33,91.2,193.8,453.33
Bacteria_shannon_Bulk_soil ,5.360843,77,122,68,267,194.74,80.58,194.3,469.62
Bacteria_shannon_Rhizosphere_soil ,5.595458,52,125,44,221,75.92,106.25,122.76,304.93
Bacteria_shannon_Rhizosphere_soil ,5.436215,50,126,50,226,79.5,108.36,129,316.86
Bacteria_shannon_Rhizosphere_soil ,5.538378,58,119,42,219,100.17,84.15,108.81,293.13
Bacteria_shannon_Rhizosphere_soil ,5.479106,64,132,76,272,123.52,96.36,283.8,503.68
Bacteria_shannon_Rhizosphere_soil ,5.447179,73,120,60,253,168.33,91.2,193.8,453.33
Bacteria_shannon_Rhizosphere_soil ,5.569407,77,122,68,267,194.74,80.58,194.3,469.62
Bacteria_shannon_Rhizoplane ,4.999961,52,125,44,221,75.92,106.25,122.76,304.93
Bacteria_shannon_Rhizoplane ,5.290146,50,126,50,226,79.5,108.36,129,316.86
Bacteria_shannon_Rhizoplane ,5.252447,58,119,42,219,100.17,84.15,108.81,293.13
Bacteria_shannon_Rhizoplane ,5.158808,64,132,76,272,123.52,96.36,283.8,503.68
Bacteria_shannon_Rhizoplane ,5.404352,73,120,60,253,168.33,91.2,193.8,453.33
Bacteria_shannon_Rhizoplane ,5.235864,77,122,68,267,194.74,80.58,194.3,469.62
Bacteria_shannon_Root_en ,5.028228,52,125,44,221,75.92,106.25,122.76,304.93
Bacteria_shannon_Root_en ,5.137018,50,126,50,226,79.5,108.36,129,316.86
Bacteria_shannon_Root_en ,5.138299,58,119,42,219,100.17,84.15,108.81,293.13
