Genus,Stem_ep_MM,Stem_ep_IM,Stem_en_MM,Stem_en_IM,phylloplane_MM,phylloplane_IM,Leaf_en_MM,Leaf_en_IM
Chryseobacterium,0.750515631,0.890203202,0.384836808,0.086754967,0.381388155,0.627119347,0.48041605,0.722724561
Pseudomonas,0.00149634,0.003633138,0.250986582,0.424503311,0.064767674,0.03403391,0.004874228,0.030706385
Sphingomonas,0.156832612,0.001478603,0.040948976,0.081622517,0.269510859,0.096007959,0.127469754,0.01459586
Quadrisphaera,0.003761071,0.002450256,0.032917034,0.059768212,0.114841786,0.033868093,0.127817913,0.061091477
Microbacterium,0.036720993,0.029149592,0.077348066,0.012913907,0.042276213,0.022053642,0.113717469,0.033322624
Exiguobacterium,0,0,0.168392219,0.000827815,0.0021267,0.000580359,0,0.000642585
Allorhizobium,0.008492741,0.036922817,0.030642091,0.007119205,0.010891281,0.024292169,0.013621725,0.031486666
Enterobacter,0.003963279,0,0.000882121,0.117549669,0,0.001285081,0.019888589,0
Frigoribacterium,0.002709589,0.007224029,0,0.000662252,0.006186763,0.059735522,0.03520759,0.025290311
Pantoea,0.011364096,0.021291876,0,0.022516556,0,0,0.022108103,0.054114839
Aureimonas,0.007845675,0.002154535,0.008496216,0.021523179,0.01868918,0.008663931,0.022804422,0.0085831
Escherichia-Shigella,0.00198164,0.001056145,0.000371419,0.002152318,0.023651479,0.050118145,0.013186526,0.003580117
Methylobacterium,0,0.000126737,0.002135661,0.019370861,0.033769414,0.01741077,0.004177909,0.00298343
Erwinia,0,0,0.001532105,0.056788079,0.002513372,0,0,0
Brevundimonas,0.009382456,0.002576993,0,0.000496689,0.006637881,0.019939477,0.007441901,0.010005967
Rosenbergiella,0,0,0,0.052152318,0.001482245,0,0,0
Bacillus,0.000404416,0,0.000232137,0.00794702,0.018560289,0,0,0
Acinetobacter,0.000485299,0.001140636,0,0.020860927,0.001933363,0.000746176,0,0.00041309
Spirosoma,0.001658107,0.000591441,0.000232137,0,0.000257782,0.003274883,0.005004787,0.000458989
Roseomonas,0.002386056,0,4.64274E-05,0.004470199,0.000515564,0.000870538,0.002263034,0
