Genus,Bulk_soil_MM,Bulk_soil_IM,Rhizosphere_soil_MM,Rhizosphere_soil_IM,Rhizoplane_MM,Rhizoplane_IM,Root_en_MM,Root_en_IM
Burkholderia,0.107131504,0.097160603,0.133018373,0.088314607,0.188000344,0.226420198,0.202460755,0.231545406
Sphingomonas,0.252728621,0.178127773,0.182047244,0.143033708,0.116036843,0.149774572,0.12490454,0.052693692
Massilia,0.008159373,0.038265306,0.090393701,0.12988764,0.265645175,0.127592426,0.387441663,0.038354871
Bradyrhizobium,0.107449401,0.081743567,0.075485564,0.086966292,0.079022123,0.072407574,0.053203224,0.034578391
Flavobacterium,0,0,0.017637795,0.012247191,0.008608074,0.03471596,0.002630462,0.51000177
Chujaibacter,0.07046731,0.07675244,0.028766404,0.012134831,0.084703452,0.099819657,0.008909631,0.003363427
Bacillus,0.056903677,0.083185448,0.054278215,0.049775281,0.035637428,0.031650135,0.00678829,0.005782734
Blastococcus,0.063473562,0.066437445,0.067401575,0.075393258,0.014805888,0.014517583,0.006533729,0.002419307
Candidatus,0.050545724,0.057453416,0.057847769,0.094831461,0.014805888,0.012173129,0.008061095,0.003245412
Ellin6067,0.046413055,0.048913043,0.056167979,0.07011236,0.009124559,0.006853021,0.000678829,0.00188824
Devosia,0.020875278,0.018300799,0.04167979,0.021348315,0.044073341,0.046618575,0.032329232,0.012096536
Jatrophihabitans,0.02596164,0.025066548,0.030656168,0.031011236,0.027545838,0.027592426,0.040644888,0.009795244
Bryobacter,0.03496874,0.032941437,0.045984252,0.045730337,0.015494534,0.021280433,0.006873144,0.003894495
Dyella,0.013139769,0.010314996,0.020472441,0.010786517,0.016355341,0.045987376,0.020025456,0.031510002
Nocardioides,0.022252835,0.024401065,0.027716535,0.030561798,0.010587931,0.008746619,0.035468816,0.006136779
Pseudolabrys,0.038677546,0.029724933,0.027086614,0.029438202,0.005423087,0.014247069,0.005685193,0.008084027
Gaiella,0.025537777,0.083629104,0.007034121,0.032134831,0.001635534,0,0.004751803,0.002714345
Mycobacterium,0.020557381,0.024068323,0.020682415,0.016516854,0.020056813,0.028043282,0.009333899,0.004779607
Mesorhizobium,0.031471866,0.018855368,0.006509186,0.011460674,0.022725316,0.015509468,0.01731014,0.012273559
Allorhizobium,0.003284942,0.004658385,0.009133858,0.008314607,0.01971249,0.016050496,0.02596521,0.024842155
