Sample,Plant,Niche,Site,Treatment,,group
B_1,Mono_Maize,Bulk_soil,soil,Bulk_soil_MM,,d
B_2,Mono_Maize,Bulk_soil,soil,Bulk_soil_MM,,d
B_3,Mono_Maize,Bulk_soil,soil,Bulk_soil_MM,,d
B_4,Inter_Maize,Bulk_soil,soil,Bulk_soil_IM,,d
B_5,Inter_Maize,Bulk_soil,soil,Bulk_soil_IM,,d
B_6,Inter_Maize,Bulk_soil,soil,Bulk_soil_IM,,d
RH_1,Mono_Maize,Rhizosphere_soil,soil,Bulk_soil_MM,,d
RH_2,Mono_Maize,Rhizosphere_soil,soil,Rhizosphere_soil_MM,,d
RH_3,Mono_Maize,Rhizosphere_soil,soil,Rhizosphere_soil_MM,,d
RH_4,Inter_Maize,Rhizosphere_soil,soil,Rhizosphere_soil_IM,,d
RH_5,Inter_Maize,Rhizosphere_soil,soil,Rhizosphere_soil_IM,,d
RH_6,Inter_Maize,Rhizosphere_soil,soil,Rhizosphere_soil_IM,,d
R_10,Mono_Maize,Rhizoplane,Root,Rhizoplane_MM,,d
R_11,Mono_Maize,Rhizoplane,Root,Rhizoplane_MM,,d
R_12,Mono_Maize,Rhizoplane,Root,Rhizoplane_MM,,d
R_13,Inter_Maize,Rhizoplane,Root,Rhizoplane_IM,,d
R_14,Inter_Maize,Rhizoplane,Root,Rhizoplane_IM,,d
R_15,Inter_Maize,Rhizoplane,Root,Rhizoplane_IM,,d
R1,Mono_Maize,Root_en,Root,Root_en_MM,,d
R2,Mono_Maize,Root_en,Root,Root_en_MM,,d
R3,Mono_Maize,Root_en,Root,Root_en_MM,,d
R4,Inter_Maize,Root_en,Root,Root_en_IM,,d
R5,Inter_Maize,Root_en,Root,Root_en_IM,,d
R6,Inter_Maize,Root_en,Root,Root_en_IM,,d
S_10,Mono_Maize,Stem_ep,stem,Stem_ep_MM,,u
S_11,Mono_Maize,Stem_ep,stem,Stem_ep_MM,,u
S_12,Mono_Maize,Stem_ep,stem,Stem_ep_MM,,u
S_13,Inter_Maize,Stem_ep,stem,Stem_ep_IM,,u
S_14,Inter_Maize,Stem_ep,stem,Stem_ep_IM,,u
S_15,Inter_Maize,Stem_ep,stem,Stem_ep_IM,,u
S1,Mono_Maize,Stem_en,stem,Stem_en_MM,,u
S2,Mono_Maize,Stem_en,stem,Stem_en_MM,,u
S3,Mono_Maize,Stem_en,stem,Stem_en_MM,,u
S4,Inter_Maize,Stem_en,stem,Stem_en_IM,,u
S5,Inter_Maize,Stem_en,stem,Stem_en_IM,,u
S6,Inter_Maize,Stem_en,stem,Stem_en_IM,,u
L_10,Mono_Maize,phylloplane,Leaf,phylloplane_MM,,u
L_11,Mono_Maize,phylloplane,Leaf,phylloplane_MM,,u
L_12,Mono_Maize,phylloplane,Leaf,phylloplane_MM,,u
L_13,Inter_Maize,phylloplane,Leaf,phylloplane_IM,,u
L_14,Inter_Maize,phylloplane,Leaf,phylloplane_IM,,u
L_15,Inter_Maize,phylloplane,Leaf,phylloplane_IM,,u
L1,Mono_Maize,Leaf_en,Leaf,Leaf_en_MM,,u
L2,Mono_Maize,Leaf_en,Leaf,Leaf_en_MM,,u
L3,Mono_Maize,Leaf_en,Leaf,Leaf_en_MM,,u
L4,Inter_Maize,Leaf_en,Leaf,Leaf_en_IM,,u
L5,Inter_Maize,Leaf_en,Leaf,Leaf_en_IM,,u
L6,Inter_Maize,Leaf_en,Leaf,Leaf_en_IM,,u
