ASV,B_1,B_2,B_3,B_4,B_5,B_6,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,R_10,R_11,R_12,R_13,R_14,R_15,R1,R2,R3,R4,R5,R6,S_10,S_11,S_12,S_13,S_14,S_15,S1,S2,S3,S4,S5,S6,L_10,L_11,L_12,L_13,L_14,L_15,L1,L2,L3,L4,L5,L6
ASV221,0,10,0,0,0,0,24,0,0,5,18,0,15,9,11,17,15,9,0,0,0,8,5,11,5606,5814,6599,0,8,0,3105,2623,2247,6,10,499,775,874,2108,4682,5235,4789,3729,3748,2654,3,6,4
ASV214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,11,35,37,21,20,16,22,180,255,274,0,0,354,716,647,414,246,227,322,926,902,1109,324,410,511
ASV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,8,77,64,67,0,0,0,0,0,0,56,83,115,2755,2906,1974,0,0,0,56,27,44,83,98,76,0,0,0
ASV1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,14,0,9,0,0,0,0,0,0,0,0,0
ASV818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,2181,689,0,0,0,43,20,42,0,0,0,0,0,0
ASV18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,62,0,8,0,67,43,65,19,0,0,3,4,0,79,92,83,721,751,659,8,0,6,283,207,194,10,9,11,19,26,28
ASV2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
ASV1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
ASV2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
ASV924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,36,32,44,0,0,146,295,342,163,344,272,307,59,46,75,2,3,1
ASV1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0
ASV94,0,0,0,0,0,0,0,11,0,0,7,23,0,0,0,9,10,0,0,5,0,24,40,12,0,0,0,0,0,0,25,15,29,651,754,536,0,0,0,25,13,21,9,0,13,0,0,0
ASV79,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,21,0,0,18,26,23,29,0,0,0,0,0,0,12,15,23,692,709,492,0,0,7,18,12,0,0,0,0,0,0,0
ASV2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
ASV1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,8,0,0,0,0,0,0,0,0,0
ASV76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,21,29,17,0,0,0,0,0,0,26,45,57,532,528,491,0,0,0,0,0,0,0,4,0,0,0,0
ASV2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
ASV927,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,3,0,0,0,0,0,0,1,3,0
