ASV_ID,Phylum
ASV750,p__Nitrospirota
ASV501,p__Acidobacteriota
ASV1257,p__Acidobacteriota
ASV455,p__Acidobacteriota
ASV477,p__Acidobacteriota
ASV1122,p__Armatimonadota
ASV406,p__Chloroflexi
ASV559,p__Chloroflexi
ASV317,p__Chloroflexi
ASV1143,p__Chloroflexi
ASV2646,p__Chloroflexi
ASV1315,p__Patescibacteria
ASV355,p__Actinobacteriota
ASV547,p__Actinobacteriota
ASV647,p__Actinobacteriota
ASV1359,p__Actinobacteriota
ASV2005,p__Actinobacteriota
ASV1354,p__Actinobacteriota
ASV2443,p__Actinobacteriota
ASV270,p__Actinobacteriota
ASV1133,p__Actinobacteriota
ASV978,p__Actinobacteriota
ASV1428,p__Actinobacteriota
ASV640,p__Actinobacteriota
ASV2483,p__Actinobacteriota
ASV249,p__Myxococcota
ASV18,p__Proteobacteria
ASV820,p__Proteobacteria
ASV834,p__Proteobacteria
ASV2539,p__Proteobacteria
ASV890,p__Proteobacteria
ASV888,p__Proteobacteria
ASV1388,p__Proteobacteria
ASV625,p__Proteobacteria
ASV829,p__Proteobacteria
ASV275,p__Proteobacteria
ASV957,p__Proteobacteria
ASV967,p__Proteobacteria
ASV2043,p__Proteobacteria
ASV1101,p__Proteobacteria
ASV1114,p__Proteobacteria
ASV1080,p__Proteobacteria
ASV180,p__Proteobacteria
ASV856,p__Proteobacteria
ASV14,p__Proteobacteria
ASV428,p__Proteobacteria
ASV733,p__Proteobacteria
ASV40,p__Proteobacteria
ASV896,p__Firmicutes
ASV1083,p__Firmicutes
ASV121,p__Firmicutes
ASV976,p__Proteobacteria
ASV245,p__Proteobacteria
ASV546,p__Proteobacteria
ASV2963,p__Proteobacteria
ASV3031,p__Proteobacteria
ASV1131,p__Proteobacteria
ASV347,p__Proteobacteria
ASV1410,p__Proteobacteria
ASV1103,p__Proteobacteria
ASV1819,p__Proteobacteria
ASV895,p__Proteobacteria
ASV248,p__Proteobacteria
ASV2541,p__Proteobacteria
ASV304,p__Proteobacteria
ASV268,p__Proteobacteria
ASV847,p__Proteobacteria
ASV897,p__Proteobacteria
ASV65,p__Proteobacteria
ASV1067,p__Proteobacteria
ASV902,p__Proteobacteria
ASV656,p__Proteobacteria
ASV1347,p__Proteobacteria
ASV1824,p__Proteobacteria
ASV1350,p__Bacteroidota
ASV901,p__Bacteroidota
ASV894,p__Bacteroidota
ASV884,p__Bacteroidota
ASV919,p__Bacteroidota
ASV921,p__Bacteroidota
ASV1389,p__Bacteroidota
ASV2505,p__Bacteroidota
ASV892,p__Bacteroidota
ASV905,p__Bacteroidota
ASV1869,p__Bacteroidota
