"ASV_ID","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1045","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unclassified_f__Didymellaceae","unclassified_f__Didymellaceae"
"ASV925","Eukaryota","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","Symmetrospora_sp"
"ASV300","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_macrospora"
"ASV112","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","unclassified_o__Trechisporales","unclassified_o__Trechisporales","Trechisporales_sp"
"ASV106","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","unclassified_g__Trichoderma"
"ASV64","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unclassified_g__Alternaria"
"ASV233","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_acetilerea"
"ASV425","Eukaryota","Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiaceae","Erythrobasidium","Erythrobasidium_hasegawianum"
"ASV1403","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Laetisaria_sp"
"ASV748","Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_sublevisporus"
"ASV707","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Neocamarosporium","unclassified_g__Neocamarosporium"
"ASV248","Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_sp"
"ASV159","Eukaryota","Fungi","Rozellomycota","unclassified_p__Rozellomycota","unclassified_p__Rozellomycota","unclassified_p__Rozellomycota","unclassified_p__Rozellomycota","Rozellomycota_sp"
"ASV463","Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus_f__Tremellaceae","Cryptococcus_carnescens"
"ASV461","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","Torula_sp"
