ASV_ID,Phylum
ASV14,Chytridiomycota
ASV200,Chytridiomycota
ASV463,Basidiomycota
ASV159,Rozellomycota
ASV189,unclassified_k__Fungi
ASV406,Basidiomycota
ASV314,Basidiomycota
ASV294,Basidiomycota
ASV246,Basidiomycota
ASV1176,Basidiomycota
ASV358,Basidiomycota
ASV371,Basidiomycota
ASV394,Basidiomycota
ASV925,Basidiomycota
ASV425,Basidiomycota
ASV1095,Basidiomycota
ASV70,Basidiomycota
ASV1159,Basidiomycota
ASV112,Basidiomycota
ASV867,Basidiomycota
ASV1079,Basidiomycota
ASV1403,Basidiomycota
ASV934,Basidiomycota
ASV300,Basidiomycota
ASV1021,Basidiomycota
ASV461,Ascomycota
ASV487,Ascomycota
ASV1535,Mortierellomycota
ASV279,Ascomycota
ASV713,Ascomycota
ASV723,unclassified_k__Fungi
ASV928,Ascomycota
ASV707,Ascomycota
ASV64,Ascomycota
ASV950,Ascomycota
ASV46,Ascomycota
ASV1045,Ascomycota
ASV679,Ascomycota
ASV148,unclassified_k__Fungi
ASV248,Ascomycota
ASV1174,Ascomycota
ASV572,unclassified_k__Fungi
ASV714,Ascomycota
ASV9,Ascomycota
ASV748,Ascomycota
ASV1678,Ascomycota
ASV1075,Ascomycota
ASV1675,Ascomycota
ASV142,Ascomycota
ASV823,Ascomycota
ASV106,Ascomycota
ASV182,unclassified_k__Fungi
ASV19,Ascomycota
ASV409,Ascomycota
ASV2565,Ascomycota
ASV162,Ascomycota
ASV336,unclassified_k__Fungi
ASV1073,Ascomycota
ASV233,Ascomycota
ASV298,Ascomycota
ASV443,Ascomycota
ASV22,Ascomycota
ASV377,Ascomycota
